file_name,class,degree
806_30_00b3ef83-2aab-4807-bdde-7f2713d23246.jpeg,StreetLampPole,1.0
806_30_013e16e1-21c6-467c-a3c3-fe544a20b2e3.jpeg,StreetLampPole,1.0
806_30_013ec3a4-ccbd-4f2a-89c1-c700793becfc.jpeg,StreetLampPole,0.0
806_30_02ddcdef-e827-423c-bfc8-0eb3bbac777c.jpeg,StreetLampPole,1.0
806_30_0423dc58-1546-4e8a-9fdf-65c1638793a7.jpeg,StreetLampPole,1.0
806_30_050c29aa-8935-4832-9d2b-80d6e3e9e7e5.jpeg,StreetLampPole,1.0
806_30_05b0d5e0-c848-47da-bfcf-bdf4be473cc7.jpeg,StreetLampPole,1.0
806_30_077864eb-bf27-4057-9a00-038113c703a7.jpeg,StreetLampPole,1.0
806_30_07bc7754-3244-4254-8c0a-12b9c78c018a.jpeg,StreetLampPole,1.0
806_30_09d7e4ee-7127-4fc9-9a30-44526357e41e.jpeg,StreetLampPole,1.0
806_30_0a226fb2-c210-446a-9b07-88640fe47e8b.jpeg,StreetLampPole,1.0
806_30_0a959e9e-bd94-4293-a165-ffe99c15d439.jpeg,StreetLampPole,1.0
806_30_0c03ebeb-c723-4ea9-a7e6-ea117c339c80.jpeg,StreetLampPole,3.0
806_30_0c9768ec-67f1-4150-94a6-7d8753f8e712.jpeg,StreetLampPole,1.0
806_30_0ce33339-2148-4b65-a25f-2e5bf63243ae.jpeg,StreetLampPole,1.0
806_30_0cf5eec4-79a8-4013-80e1-dd55ca1fce3a.jpeg,StreetLampPole,1.0
806_30_0dc46884-91db-48c0-8829-ae8c696c5824.jpeg,StreetLampPole,1.0
806_30_0df11900-625a-4328-a050-1ec1dd7d61fe.jpeg,StreetLampPole,1.0
806_30_0dfcdec0-06db-45ce-9234-510c05bcf43b.jpeg,StreetLampPole,1.0
806_30_0f24c1f2-3029-471c-ba79-7cbf6fc44cde.jpeg,StreetLampPole,7.0
806_30_107e106b-4fbe-4361-9f31-1861f3c3d6e1.jpeg,StreetLampPole,1.0
806_30_109a8443-e510-4400-890c-ecf7a0ff2584.jpeg,StreetLampPole,1.0
806_30_10ba1cbf-2562-4340-bba3-3188f17ef4fc.jpeg,StreetLampPole,1.0
806_30_12c7ed15-7c00-40ff-8464-7a5abcb976bc.jpeg,StreetLampPole,1.0
806_30_13fb5e45-4ca7-4e7f-a041-abbd7c505c33.jpeg,StreetLampPole,1.0
806_30_14cc5574-d300-42a2-98b3-144fbd2244c2.jpeg,StreetLampPole,1.0
806_30_14fab9c3-f598-4a4e-8cef-ee219e3279e2.jpeg,StreetLampPole,1.0
806_30_1579dc4b-19c0-4db7-9717-7b2106e958d2.jpeg,StreetLampPole,1.0
806_30_15b56d2b-d895-472e-a594-7783f525d5e0.jpeg,StreetLampPole,7.0
806_30_168f9e0a-3597-4c56-b4a8-9735f5ade7b3.jpeg,StreetLampPole,4.0
806_30_16fc3c88-c3ed-4afc-b605-9536165aa0ee.jpeg,StreetLampPole,1.0
806_30_19fc7efd-6e2c-47b9-8622-f18d80faf2cf.jpeg,StreetLampPole,9.0
806_30_1adf7bfc-31e6-48b3-bed4-f225fd56c3a2.jpeg,StreetLampPole,1.0
806_30_1af72bd6-b62f-430c-99f7-8a35eb37ad0a.jpeg,StreetLampPole,1.0
806_30_1b542a83-11e6-45b4-9b87-eea4ead00b6e.jpeg,StreetLampPole,1.0
806_30_1b81b4f1-6235-4d5f-b3e5-3f7e2e754662.jpeg,StreetLampPole,1.0
806_30_1bc065ac-2ab4-42d5-a52d-98905c9f295b.jpeg,StreetLampPole,1.0
806_30_1bc89b12-ae62-4692-9605-df448f8ba9dc.jpeg,StreetLampPole,1.0
806_30_1eaaab0d-7981-4ede-a4d6-8e137a1c9683.jpeg,StreetLampPole,1.0
806_30_20166401-9dcd-4291-aa7b-1d10f3c46f5e.jpeg,StreetLampPole,1.0
806_30_2043406e-e3a2-4c1f-9f09-169f90effd07.jpeg,StreetLampPole,1.0
806_30_2053d566-ce62-456e-b1b1-035cb6611a77.jpeg,StreetLampPole,1.0
806_30_215609fa-2e4b-4878-b970-76a589c3c151.jpeg,StreetLampPole,1.0
806_30_22ca0254-7b07-4aea-98c8-c9243d125d87.jpeg,StreetLampPole,1.0
806_30_230e40a8-7c41-43cf-8db3-f394f964a7ea.jpeg,StreetLampPole,1.0
806_30_239f2aba-b9f1-4a13-946f-2dc937a686a9.jpeg,StreetLampPole,1.0
806_30_2507a99c-ebcc-45ea-9f88-60fa9b3bb474.jpeg,StreetLampPole,1.0
806_30_25230260-cc7c-4b2d-97ab-b339eddcf46f.jpeg,StreetLampPole,1.0
806_30_26678480-c20c-4895-b701-b6ba2b088dd2.jpeg,StreetLampPole,1.0
